name,rating,benefits,categories,key_points,description
4-Hydroxybutyl Acrylate,Not Rated,,,,Functions: Binding. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Hydroxyindole,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Hydroxypropylamino-3-Nitrophenol,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Isobutylresorcinol,Not Rated,,,,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"4-Methoxytoluene-2,5-Diamine HCL",Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methyl-1-Oxaspiro-4-Undecanol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methyl-1-Oxaspiroundecene,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methyl-1-Phenyl-2-Pentanol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methyl-2-Phenyl-2-Pentenal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"4-Methyl-2-Phenylethyl-1,3-Dioxolane",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methyl-3-Decen-5-Ol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methyl-4-Phenyl-2-Pentanone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methyl-7-Geranyloxycoumarin,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methylbenzaldehyde,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"4-Methylbenzyl 4,5-Diamino Pyrazole Sulfate",Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methylpent-3-En-2-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methylpentan-2-Ol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"4-Methylpentane-2,3-Dione",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methylquinoline,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Methylvinylcyclohexene-1-Methyl Acetate,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Nitroguaiacol,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Nitro-M-Phenylenediamine,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Nitro-M-Phenylenediamine Sulfate,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Nitro-O-Phenylenediamine Dihydrochloride,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Nitro-O-Phenylenediamine HCL,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Nitro-O-Phenylenediamine Sulfate,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Nitrophenyl Aminoethylurea,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Phenylpropylpyridine,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-T-Butyl Benzaldehyde,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-T-Butylbenzoic Acid,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Tert-Butylcyclohexane Carbaldehyde,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Tert-Butylcyclohexanone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Tert-Butylcyclohexyl Acetate,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Tert-Butyldihydrocinnamaldehyde,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Tert-Butyltoluene,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
4-Thujanol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"5,5,6-Trimethylbicyclohept-2-Ylcyclohexanol",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"5,9-Dimethyl-8-Decen-3-Ol",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"5-Amino-2,6-Dimethoxy-3-Hydroxypyridine",Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Amino-4-Chloro-O-Cresol,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Amino-4-Chloro-O-Cresol HCL,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Amino-4-Fluoro-2-Methylphenol Sulfate,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Amino-6-Chloro-O-Cresol,Not Rated,,,,"Functions: Antimicrobial, Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it."
"5-Bromo-5-Nitro-1,3-Dioxane",Not Rated,,,,Functions: Preservative. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Cyclohexadecenone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Diethoxymethyl-Hexahydro-Methano-1H-Indene,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Ethyl-3-Hydroxy-4-Methylfuran-2-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Ethyl-4-Hydroxy-2-Methylfuran-3(2H)-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Ethylidenebicyclohept-2-Yl Propionate,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Hexen-2-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Hydroxyvanillin,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Isopropyl-2-Methylanisole,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Isopropyltropolone,Not Rated,,,,"Functions: Anticorrosive, Antimicrobial. We have not yet rated this ingredient because we have not had a chance to review the research on it."
5-Melozol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Melozol Acetate,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Methoxy-M-Cresol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"5-Methyl-1-(2,2,3-Trimethylcyclopentenyl)-6-Oxabicyclooctane",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Methyl-2-Hepten-4-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Methyl-2-Phenyl-2-Hexenal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Methyl-5-Phenyl-3-Hexanone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Methyl-Alpha-Ionone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Methyl-Beta-Ionone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Methylfuranone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Nonen-2-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Phenylhex-3-En-2-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
5-Phenylhex-4-En-2-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6,10-Dimethylundeca-1,5,9-Trien-4-Ol",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6,7-Dihydrolinalool",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6,8-Dimethyl-2-Nonanol",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6-Amino-2,4-Dichloro-M-Cresol HCL",Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Amino-M-Cresol,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Amino-O-Cresol,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Diethoxymethyl-Hexahydro-Methano-1H-Indene,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Ethyl-3-Methyloct-5-Enol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6-Ethylideneoctahydro-5,8-Methano-2H-1-Benzopyran-2-One",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6-Ethylideneoctahydro-5,8-Methano-2H-Benzo-1-Pyran",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Hydroxyindole,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Isobutylquinoline,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6-Methoxy-2,3-Pyridinediamine HCL",Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6-Methoxy-2,6-Dimethylheptanal",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Methoxy-2-Methylamino-3-Aminopyridine HCL,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Methyl-5-Hepten-2-Ol,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Methyl-5-Hepten-2-One,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Methyl Coumarin,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Methylquinoline,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"6-Nitro-2,5-Pyridinediamine",Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Nitro-O-Toluidine,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
6-Tert-Butylquinoline,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
7-Amino Dihydrobenzothiazine,Not Rated,,,,Functions: Hair Dyeing. We have not yet rated this ingredient because we have not had a chance to review the research on it.
7-Dehydrocholesterol,Not Rated,,,,"Functions: Emulsion Stabilizer, Skin Conditioning, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
7-Dehydrocholesteryl Palmitate,Not Rated,,,,"Functions: Skin Protecting, UV Filter. We have not yet rated this ingredient because we have not had a chance to review the research on it."
7-Ethylbicyclooxazolidine,Not Rated,,,,Functions: Preservative. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"7-Hydroxy-3,7-Dimethyl-Octanal/Indole",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"7-Hydroxy-3,7-Dimethyl-Octanal Distillates",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
7-Isopropyl-5-Methylbicyclooctene-2-Carbonitrile,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
7-Isopropyl-5-Methylbicyclooctenyl-Dioxolane,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"7-Methoxy-3,7-Dimethyloct-1-Ene",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"7-Methyl-3-Methylene-1,6-Octadiene Acetylated",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"7-Methyl-3-Methylene-1,6-Octadiene Hydrocarbons",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"7-Methyl-3-Methylene-1,6-Octadiene Tetrahydrocitronellols",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
7-Methyl-3-Methyleneoct-6-Enal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
8-Cedrene Epoxide,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
8-Cyclohexadecenone,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"8-Ethyl-1,5-Dimethylbicyclo-8-Octanol",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
8-Hydroxydaidzein,Not Rated,,,,"Functions: Antioxidant, Bleaching, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
8-Isopropyl-6-Methylbicyclooctene-2-Carbaldehyde,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
8-Isopropyl-6-Methylbicyclooctenyl-Dioxolane,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"8-Methoxy-2,6-Dimethyloct-2-Ene",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
"8-Methoxyethoxy-2,6-Dimethyloct-2-Ene",Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
8-Tert-Butylquinoline,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
8-Undecenal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
9-Decenal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
9-Decenyl Acetate,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
9-Decenyl Propionate,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
9-Undecenal,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abalone Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abalone Shell Powder,Not Rated,,,,"Functions: Binding, Bulking, Opacifying, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abeliophyllum Distichum Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abeliophyllum Distichum Leaf Extract,Not Rated,,,,"Functions: Humectant, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abelmoschus Esculentus Fruit Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abelmoschus Manihot Flower/Stem Extract,Not Rated,,,,"Functions: Humectant, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abelmoschus Manihot Flower Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abelmoschus Manihot Flower Water,Not Rated,,,,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abelmoschus Manihot Root Extract,Not Rated,,,,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Alba Cone Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Alba Cone Oil,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Alba Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Alba Leaf Cera,Not Rated,,,,"Functions: Fragrance, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Alba Leaf Oil,Not Rated,,,,"Functions: Fragrance, Tonic. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Alba Leaf Wax,Not Rated,,,,"Functions: Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Alba Needle Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Alba Needle Oil,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Alba Seed Extract,Not Rated,,,,"Functions: Antimicrobial, Antioxidant, Bleaching, Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Alba Seed Oil,Not Rated,,,,"Functions: Antimicrobial, Antioxidant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Alba Wood Extract,Not Rated,,,,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Balsamea Balsam Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Balsamea Bark Oil,Not Rated,,,,"Functions: Fragrance, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Balsamea Extract,Not Rated,,,,"Functions: Film Forming, Hair Conditioning, Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Balsamea Needle Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Balsamea Needle Oil,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Balsamea Resin,Not Rated,,,,"Functions: Film Forming, Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Grandis Oil,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Homolepis Leaf Extract,Not Rated,,,,"Functions: Astringent, Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Koreana Leaf Extract,Not Rated,,,,"Functions: Hair Conditioning, Hair Waving or Straightening, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Koreana Leaf Powder,Not Rated,,,,"Functions: Fragrance, Hair Conditioning, Hair Waving or Straightening, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Lasiocarpa Branch/Leaf Oil,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Pectinata Extract,Not Rated,,,,"Functions: Deodorant, Tonic. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Pectinata Leaf Extract,Not Rated,,,,"Functions: Deodorant, Tonic. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Pectinata Needle Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Pectinata Needle Oil,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Pectinata Oil,Not Rated,,,,"Functions: Fragrance, Tonic. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Pectinata Wood Oil,Not Rated,,,,"Functions: Antimicrobial, Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Sachalinensis Branch/Leaf Water,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Sachalinensis Bud Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Sachalinensis Leaf Extract,Not Rated,,,,"Functions: Humectant, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Sachalinensis Leaf Oil,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Sachalinensis Resin,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Sibirica Needle Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abies Spectabilis Branch/Leaf Oil,Not Rated,,,,"Functions: Fragrance, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abies Veitchii Leaf Extract,Not Rated,,,,"Functions: Astringent, Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Abietic Acid,Not Rated,,,,Functions: Emulsifier. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abietoyl Dipeptide-22,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abietyl Alcohol,Not Rated,,,,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abronia Villosa Leaf Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abrus Fruticulosus Leaf Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abrus Fruticulosus Root Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abrus Precatorius Meristem Cell Culture Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Abrus Precatorius Root Extract,Not Rated,,,,Functions: Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Arabica Bark Powder,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Arabica Stem Bark Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Arabica Stem Bark Powder,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Catechu Bark Powder,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Catechu Catechins,Not Rated,,,,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Catechu Gum,Not Rated,,,,"Functions: Film Forming, Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Catechu Leaf/Wood Powder,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Catechu Seed Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Catechu Seed Powder,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Catechu Wood Extract,Not Rated,,,,Functions: Antioxidant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Concinna Fruit Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Concinna Fruit Powder,Not Rated,,,,Functions: Hair Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Dealbata Flower/Stem Extract,Not Rated,,,,"Functions: Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Dealbata Flower Cera,Not Rated,,,,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Dealbata Flower Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Dealbata Flower Wax,Not Rated,,,,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Dealbata Leaf Extract,Not Rated,,,,"Functions: Skin Conditioning, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Dealbata Seed Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Decurrens Extract,Not Rated,,,,"Functions: Astringent, Skin Conditioning, Tonic. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Decurrens Flower Cera,Not Rated,,,,"Functions: Skin Conditioning, Emollient, Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Decurrens Flower Extract,Not Rated,,,,Functions: Fragrance. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Decurrens Flower Wax,Not Rated,,,,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Decurrens Leaf Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Farnesiana Flower/Stem Extract,Not Rated,,,,"Functions: Astringent, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Farnesiana Flower Cera,Not Rated,,,,Functions: Skin Protecting. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Farnesiana Flower Oil,Not Rated,,,,Functions: Flavor. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Farnesiana Flower Wax,Not Rated,,,,Functions: Flavor. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Farnesiana Gum,Not Rated,,,,"Functions: Astringent, Film Forming, Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Farnesiana Stem Bark Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Mearnsii Bark Extract,Not Rated,,,,Functions: Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Melanoxylon Leaf Extract,Not Rated,,,,"Functions: Skin Conditioning, Emollient. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Saligna Leaf Extract,Not Rated,,,,"Functions: Astringent, Skin Conditioning. We have not yet rated this ingredient because we have not had a chance to review the research on it."
Acacia Senegal Flower/Stem Extract,Not Rated,,,,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Senegal Gum Extract,Not Rated,,,,Functions: Viscosity Controlling. We have not yet rated this ingredient because we have not had a chance to review the research on it.
Acacia Seyal Gum,Not Rated,,,,Functions: Humectant. We have not yet rated this ingredient because we have not had a chance to review the research on it.
